Signature1 Signature2 Signature3 Signature4 Signature5 Signature6 Signature7 Signature8 Signature9 Signature10 Signature11 Signature12 Signature13 Signature14 Signature15 Signature16 Signature17 Signature18 Signature20
GCG>GAG 0.00123397173926683 0.000380172501507492 0.0048038198054347 0.00105843072120305 0.00136440638522531 0.00190138511710793 0.00196099976162515 0.00267758579272685 0.000594816092155823 0.00547785343759175 0.0128751091651946 0.0196737068149188 0.000744421542935081 0.00516715243169782 0.00384767922509111 0.000857800742814754 0.00151867635251498 0.00257035222524452 0.0114341599932626
GCT>GAT 0.00616091428226363 0.00115874701217515 0.0231136943817549 0.0024410617832978 0.00946163143841249 0.00915639143149154 0.00296045251530551 0.00878973354075808 0.00471476624578142 0.00361556774806379 0.0131903683102872 0.027802548542605 0.0157208524268794 0.00259280117055357 0.0119013120656607 0.00403526441256548 0.00276863582207806 0.00313001956292064 0.037804585616901
TCA>TAA 0.00876021309930387 0.0310212291976416 0.0610485266936842 0.0160977597308604 0.0201801163498154 0.0210709657057087 0.015070509833919 0.0141342438636407 0.0101753501032012 0.0118960680744915 0.00948792294513251 0.0112534456616248 0.0212417257772655 0.00515951333119189 0.0207153311685117 0.0140605284164746 0.00979473311589823 0.00403337097337647 0.0909544170803974
TCC>TAC 0.00812841104456861 0.0136127102080782 0.0458899271128972 0.0107001617628769 0.00255217229351054 0.00921098256977049 0.00827224479086887 0.00893790376084009 0.0123304099151905 0.0075415411651409 0.00341547242469442 0.00635003023764433 0.0382988514931287 0.00476840016231109 0.00996918472234779 0.00482164523141198 0.0347967808943221 0.0118935615645178 0.0122218950682539
TCG>TAG 0.00133260164916931 0.00160389559102995 0.00651865255388813 0.003940014126459 0.00287639478898874 0.00878935332825504 0.00637282976328908 0.00173915242492198 0.00108866808162602 0.00374138025160758 0.00555889541987871 0.00777220834799634 0.0028063632615726 0.00328195243241586 0.00665425296604444 0.00627202894542188 0.00255259802025278 0.00201246378215018 0.0543984156998561
TCT>TAT 0.0107988579836022 0.012313245561447 0.0489117168092613 0.0142469807393478 0.0302269034784671 0.0167898123642631 0.0133908136862326 0.014134311812635 0.0063059645095858 0.0193244077630975 0.0193765591004508 0.0227708233138088 0.0174324590892571 0.00510035535745346 0.0201828999636451 0.0204562702834081 0.0403060960743925 0.004172683008415 0.022600852260566
ACA>AGA 0.00748661216891317 0.00262804629714305 0.0102489740857985 0.00713996698581514 0.00631703238163423 0.0056036288794757 0.0184522140598386 0.0026564812711832 0.0185073985263136 0.00856757162148978 0.0103901455446722 0.00647695944615103 0.00327811749263975 0.00408337921025418 0.0054556820613458 0.0131239417011891 0.0048826391480042 0.00993219936240572 0.0103179431481767
ACC>AGC 0.00400873735783496 0.000833835707923742 0.00556839104783357 0.00282174421425356 0.00451189360197174 0.00276472392177279 0.00257719230819524 0.00242803132388434 0.0179817760379085 0.00417790379175614 0.0164724970735851 0.00243592390709332 0.0165375119308329 0.00810282195077773 0.00808073214451765 0.00120385129293358 0.000790968267430478 0.00666651839896285 0.00951240067795682
ACG>AGG 0.000754474422363618 0.000350924719408839 0.00168113714367294 0.000457614249842872 0.000638559149787425 0.00673906929139342 0.00172900711479111 0.00174853004882664 0.013155539830234 0.00267793705689994 0.0104599514948389 0.00768136101275756 0.00253307587201949 0.0067320366294334 0.0099689942058289 0.000417938418794823 0.00127030910586408 0.0076965989245804 0.00442538000392096
ACT>AGT 0.00902678005324196 0.00235584087826389 0.00992587135851018 0.00353024048866769 0.00203339893880918 0.0027829578748888 0.00677721447354236 0.00301504522389075 0.00736658172637388 0.00221939662278787 0.00529310325518019 0.0284987777226875 0.0091734516993861 0.00719982103981216 0.0020883288349154 0.0134070217260732 0.0120149203166275 0.0115010067214878 0.00544916351058979
CCA>CGA 0.00460244187727618 0.00478293902873265 0.00817070851057911 0.00214520435667802 0.00236604156264418 0.00146764975097319 0.0128478176766112 0.00432076337048572 0.0147434963390968 0.00296306733123829 0.00438834851067259 0.0133301403697773 0.0114669400894559 0.00317578795962531 0.00236935708463766 0.00271331776230487 0.00420528040991999 0.00406241528521042 0.0192231863949406
